hip,name,ra_deg,dec_deg,mag
66006,74    Vir,202.991190,-6.255816,4.68
66200,78    Vir,203.533050,3.658967,4.92
66234,24    CVn,203.613750,49.015973,4.68
66249,Heze,203.673300,-0.59582,3.38
66257,HIP66257,203.699145,37.182415,4.91
66458,25    CVn,204.365175,36.294898,4.82
66657,Eps Cen,204.971940,-53.466394,2.29
66738,83    UMa,205.184505,54.681634,4.63
66821,HIP66821,205.436625,-54.559425,4.99
67153,1    Cen,206.422065,-33.043721,4.23
67234,HIP67234,206.664060,-51.432766,4.64
67275,4Tau Boo,206.815650,17.456906,4.50
67301,Alkaid,206.885310,49.313265,1.85
67457,2    Cen,207.361365,-34.450776,4.19
67459,5Ups Boo,207.369345,15.797905,4.05
67464,Nu  Cen,207.376170,-41.687709,3.41
67472,Mu  Cen,207.404145,-42.473732,3.47
67480,6    Boo,207.428460,21.264105,4.92
67494,89    Vir,207.467865,-18.134168,4.96
67627,10    Dra,207.858075,64.723272,4.58
67665,HIP67665,207.947820,34.44424,4.76
67669,3    Cen,207.956685,-32.994089,4.32
67786,4    Cen,208.302255,-31.927612,4.75
67927,Muphrid,208.671165,18.397717,2.68
68002,Zet Cen,208.885005,-47.288375,2.55
68191,HIP68191,209.412135,-63.686696,4.71
68245,Phi Cen,209.567790,-42.100753,3.83
68282,Ups1Cen,209.669805,-44.803584,3.87
68520,93Tau Vir,210.411645,1.544532,4.23
68523,Ups2Cen,210.431220,-45.603421,4.34
68702,Hadar,210.955935,-60.373039,0.61
68756,Thuban,211.097475,64.37585,3.67
68862,Chi Cen,211.511550,-41.179633,4.36
68895,49Pi  Hya,211.592895,-26.682361,3.25
68933,Menkent,211.670925,-36.369954,2.06
69112,4    UMi,212.212470,77.547514,4.80
69191,HIP69191,212.478630,-53.438946,4.74
69226,12    Boo,212.599725,25.091677,4.82
69269,HIP69269,212.710350,-16.30203,4.93
69389,HIP69389,213.065850,2.409433,4.99
69427,Kang,213.223935,-10.273702,4.18
69483,17Kap2Boo,213.370770,51.789965,4.53
69673,Arcturus,213.915450,19.18241,-0.05
69701,Syrma,214.003620,-6.000547,4.07
69713,21Iot Boo,214.041585,51.367231,4.75
69732,Xuange,214.096110,46.088305,4.18
69879,HIP69879,214.499250,35.509505,4.80
69896,Eta Aps,214.558155,-81.00776,4.89
69974,Khambalia,214.777470,-13.371095,4.52
69996,Iot Lup,214.850940,-46.058093,3.55
70027,20    Boo,214.938495,16.306948,4.84
70069,HIP70069,215.081445,-56.386497,4.30
70090,Psi Cen,215.139345,-37.885295,4.05
70104,HIP70104,215.177385,-45.18706,4.78
70264,HIP70264,215.654565,-58.459117,4.76
70300,HIP70300,215.759340,-39.511819,4.41
70306,51    Hya,215.774130,-27.754017,4.78
70327,HIP70327,215.844570,8.446617,4.86
70497,23The Boo,216.299505,51.850744,4.04
70574,Tau1Lup,216.534285,-45.221424,4.56
70576,Tau2Lup,216.545040,-45.379276,4.33
70638,Del Oct,216.732015,-83.667884,4.31
70692,5    UMi,216.881370,75.695993,4.25
70753,52    Hya,217.043460,-29.491638,4.97
70755,Elgafar,217.050570,-2.227957,4.81
71053,25Rho Boo,217.957500,30.371437,3.57
71075,Seginus,218.019540,38.308253,3.04
71121,Sig Lup,218.154435,-50.457157,4.44
71284,28Sig Boo,218.670000,29.74513,4.47
71352,Eta Cen,218.876790,-42.157824,2.33
71536,Rho Lup,219.471810,-49.425828,4.05
71681,Toliman,219.905190,-60.8383,1.35
71683,Rigil Kentaurus,219.911475,-60.833976,-0.01
71762,29Pi 1Boo,220.181520,16.418324,4.49
71795,30Zet Boo,220.287300,13.7283,3.78
71832,31    Boo,220.411455,8.161764,4.86
71860,Alp Lup,220.482345,-47.3882,2.30
71865,HIP71865,220.489980,-37.793498,4.01
71908,Alp Cir,220.627380,-64.975138,3.18
71957,107Mu  Vir,220.765095,-5.658207,3.87
71995,34    Boo,220.855680,26.52785,4.80
72010,HIP72010,220.914360,-35.173655,4.06
72104,HIP72104,221.246670,-35.191826,4.92
72105,Izar,221.246760,27.074222,2.35
72125,35Omi Boo,221.310255,16.96428,4.60
72220,109    Vir,221.562180,1.892885,3.73
72370,Alp Aps,221.965515,-79.044751,3.83
72571,58    Hya,222.572205,-27.960371,4.42
72607,Kochab,222.676575,74.155505,2.07
72622,Zubenelgenubi,222.719655,-16.041778,2.75
72631,11    Lib,222.754470,-2.29915,4.93
72659,37Xi  Boo,222.847395,19.10046,4.54
72683,Omi Lup,222.909615,-43.575359,4.32
73165,16    Lib,224.295825,-4.346462,4.47
73199,HIP73199,224.396145,65.93246,4.63
73273,Bet Lup,224.633055,-43.13396,2.68
73334,Kap Cen,224.790375,-42.104194,3.13
73473,19Del Lib,225.243120,-8.518943,4.91
73555,Nekkar,225.486540,40.390566,3.49
73568,41Ome Boo,225.527115,25.008138,4.80
73620,110    Vir,225.725160,2.091303,4.39
73695,44    Boo,225.947610,47.65406,4.83
73714,Brachium,226.017585,-25.281965,3.25
73745,43Psi Boo,226.111470,26.947649,4.52
73807,Pi  Lup,226.279545,-47.051245,3.91
73996,45    Boo,226.825230,24.869195,4.93
74117,Lam Lup,227.210910,-45.279857,4.07
74376,Kap1Lup,227.983770,-48.737819,3.88
74392,24Iot1Lib,228.055380,-19.79171,4.54
74395,Zet Lup,228.071400,-52.099247,3.41
74449,HIP74449,228.206640,-44.500414,4.83
74604,1    Lup,228.655500,-31.519121,4.91
74666,49Del Boo,228.875640,33.314833,3.46
74785,Zubeneschamali,229.251735,-9.382917,2.61
74824,Bet Cir,229.378755,-58.801208,4.07
74837,Eps Cir,229.412040,-63.610465,4.85
74857,2    Lup,229.457670,-30.148673,4.35
74911,Mu  Lup,229.633455,-47.875272,4.27
74946,Gam TrA,229.727715,-68.679545,2.87
75097,Pherkad,230.182245,71.834016,3.00
75141,Del Lup,230.343015,-40.647518,3.22
75177,Phi1Lup,230.451600,-36.261376,3.57
75206,Nu 1Lup,230.534625,-47.927792,4.99
75264,Eps Lup,230.670315,-44.689622,3.37
75304,Phi2Lup,230.788965,-36.858489,4.54
75312,2Eta CrB,230.801250,30.287812,4.99
75323,Gam Cir,230.844375,-59.320787,4.48
75379,31Eps Lib,231.049545,-10.322266,4.92
75411,Alkalurops,231.122715,37.377167,4.31
75458,Edasich,231.232410,58.966065,3.29
75501,HIP75501,231.334275,-38.73362,4.60
75695,Nusakan,231.957270,29.105703,3.66
76041,53Nu 2Boo,232.945770,40.899332,4.98
76127,4The CrB,233.232435,31.359133,4.14
76219,37    Lib,233.544570,-10.064529,4.61
76267,Alphecca,233.671920,26.714693,2.22
76276,13Del Ser,233.700615,10.538867,3.80
76297,Gam Lup,233.785215,-41.166757,2.80
76333,Zubenelhakrabi,233.881575,-14.789537,3.91
76371,HIP76371,233.971890,-44.958389,4.55
76440,Eps TrA,234.180000,-66.317037,4.11
76470,39Ups Lib,234.256050,-28.135079,3.60
76552,Ome Lup,234.513480,-42.567348,4.34
76600,40Tau Lib,234.664050,-29.777754,3.66
76669,7Zet1CrB,234.844485,36.635812,4.64
76705,3Psi1Lup,234.941580,-34.411926,4.66
76742,42    Lib,235.070400,-23.818078,4.97
76829,HIP76829,235.297575,-44.661205,4.64
76852,21Iot Ser,235.387740,19.670401,4.51
76880,43Kap Lib,235.486665,-19.678828,4.75
76945,4Psi2Lup,235.670925,-34.710407,4.75
76952,8Gam CrB,235.685715,26.295637,3.81
77055,16Zet UMi,236.014485,77.794493,4.29
77070,Unukalhai,236.066970,6.425627,2.63
77233,28Bet Ser,236.546895,15.421826,3.65
77257,27Lam Ser,236.610900,7.353073,4.42
77450,Gudja,237.184905,18.141564,4.09
77512,10Del CrB,237.398550,26.068394,4.59
77516,32Mu  Ser,237.405030,-3.430208,3.54
77622,37Eps Ser,237.704025,4.47773,3.71
77634,5Chi Lup,237.739740,-33.627165,3.97
77635,1    Sco,237.744780,-25.751295,4.63
77655,11Kap CrB,237.808050,35.657382,4.79
77661,38Rho Ser,237.816300,20.977919,4.74
77760,1Chi Her,238.168545,42.451518,4.60
77840,2    Sco,238.402995,-25.327142,4.59
77853,46The Lib,238.456395,-16.729293,4.13
77952,Bet TrA,238.786245,-63.430727,2.83
78072,41Gam Ser,239.113230,15.661617,3.85
78104,Iklil,239.221155,-29.214073,3.87
78159,13Eps CrB,239.396910,26.87788,4.14
78180,HIP78180,239.447940,54.749762,4.96
78207,48    Lib,239.547375,-14.279358,4.95
78265,Fang,239.712975,-26.114105,2.89
78323,HIP78323,239.876145,-41.744436,4.99
78384,Eta Lup,240.030540,-38.396706,3.42
78401,Dschubba,240.083355,-22.62171,2.29
78493,14Iot CrB,240.360705,29.851061,4.98
78527,13The Dra,240.472980,58.565251,4.01
78554,44Pi  Ser,240.573720,22.804454,4.82
78592,6Ups Her,240.699510,46.036705,4.72
78639,Eta Nor,240.803685,-49.229695,4.65
78650,HIP78650,240.835950,-25.86524,4.96
78655,HIP78655,240.850800,-38.602541,4.90
78662,Iot1Nor,240.883965,-57.775064,4.63
78820,Acrab,241.359300,-19.805453,2.56
78821,8Bet2Sco,241.360650,-19.80186,4.90
78914,Del Nor,241.622640,-45.173185,4.73
78918,The Lup,241.648110,-36.802288,4.22
78933,9Ome1Sco,241.701780,-20.669192,3.93
78990,10Ome2Sco,241.851360,-20.868764,4.31
79101,11Phi Her,242.192430,44.934906,4.23
79119,16Tau CrB,242.242935,36.490944,4.73
79374,Jabbah,242.998890,-19.460708,4.00
79375,15Psi Sco,242.999955,-10.064253,4.93
79404,13    Sco,243.075855,-27.926372,4.58
79509,Kap Nor,243.369720,-54.630467,4.95
79593,Yed Prior,243.586410,-3.694323,2.73
79664,Del TrA,243.859455,-63.685682,3.86
79790,Gam1Nor,244.253895,-50.068122,4.97
79822,21Eta UMi,244.376865,75.75533,4.95
79881,HIP79881,244.574595,-28.61402,4.80
79882,Yed Posterior,244.580370,-4.692511,3.23
79992,22Tau Her,244.935165,46.313366,3.91
80000,Gam2Nor,244.960305,-50.155508,4.01
80047,Del1Aps,245.086785,-78.695745,4.68
80079,19Omi Sco,245.159085,-24.16932,4.55
80112,Alniyat,245.297145,-25.592796,2.90
80170,20Gam Her,245.480070,19.15313,3.74
80179,50Sig Ser,245.518125,1.029039,4.82
80181,19Xi  CrB,245.524305,30.891996,4.86
80331,Athebyne,245.997900,61.514213,2.73
80343,4Psi Oph,246.025770,-20.037327,4.48
80463,Cujam,246.353970,14.03327,4.57
80473,5Rho Oph,246.396330,-23.447178,4.57
80569,7Chi Oph,246.755985,-18.456251,4.22
80582,Eps Nor,246.796005,-47.554786,4.46
80628,3Ups Oph,246.950775,-8.371731,4.62
80650,15    Dra,246.996000,68.768137,4.94
80686,Zet TrA,247.116330,-70.084401,4.90
80704,30    Her,247.160595,41.881677,4.83
80763,Antares,247.351920,-26.432002,1.06
80815,22    Sco,247.551990,-25.115224,4.79
80816,Kornephoros,247.555020,21.489613,2.78
80883,Marfik,247.728435,1.983923,3.82
80894,8Phi Oph,247.784865,-16.612733,4.29
80911,HIP80911,247.845555,-34.704366,4.24
80975,9Ome Oph,248.034165,-21.46639,4.45
81008,29    Her,248.151225,11.488041,4.84
81065,Gam Aps,248.364135,-78.897148,3.86
81122,Mu  Nor,248.520915,-44.045315,4.86
81126,35Sig Her,248.525760,42.437041,4.20
81266,Paikauhale,248.970645,-28.216016,2.82
81304,HIP81304,249.093630,-35.255326,4.18
81377,13Zet Oph,249.289740,-10.56709,2.54
81497,42    Her,249.686910,48.928342,4.86
81660,18    Dra,250.229670,64.589046,4.84
81693,40Zet Her,250.321695,31.602726,2.81
81724,HIP81724,250.393260,-17.742167,4.91
81833,44Eta Her,250.723995,38.922254,3.48
81852,Bet Aps,250.771890,-77.517435,4.23
82020,HIP82020,251.324190,56.781857,4.84
82080,22Eps UMi,251.492385,82.037262,4.21
82273,Atria,252.166155,-69.027715,1.91
82321,52    Her,252.309225,45.983323,4.82
82363,Eta Ara,252.446400,-59.041378,3.77
82369,20    Oph,252.458445,-10.783,4.64
82396,Larawag,252.541200,-34.293232,2.29
82514,Xamidimura,252.967635,-38.04738,3.00
82545,Pipirima,253.083945,-38.017536,3.56
82671,Zet1Sco,253.498860,-42.362025,4.70
82673,25Iot Oph,253.501965,10.165359,4.39
82729,Zet2Sco,253.645965,-42.361313,3.62
82860,19    Dra,254.006250,65.134796,4.88
83000,27Kap Oph,254.417085,9.375033,3.19
83081,Zet Ara,254.655090,-55.990141,3.12
83153,Eps1Ara,254.896035,-53.160438,4.06
83207,58Eps Her,255.072405,30.926405,3.92
83262,30    Oph,255.265005,-4.222644,4.82
83430,HIP83430,255.782790,14.091947,4.97
83574,HIP83574,256.205640,-34.12293,4.83
83608,21Mu  Dra,256.333935,54.470042,4.91
83613,60    Her,256.344540,12.740828,4.89
83895,Aldhibah,257.196720,65.714683,3.17
84012,Sabik,257.594520,-15.72491,2.43
84143,Eta Sco,258.038280,-43.239189,3.32
84345,Rasalgethi,258.661905,14.390333,2.78
84379,Sarin,258.757965,24.839204,3.12
84380,67Pi  Her,258.761820,36.809162,3.16
84405,Guniibuu,258.837540,-26.602829,4.33
84514,41    Oph,259.152855,-0.445297,4.72
84573,68    Her,259.331535,33.1001,4.80
84606,69    Her,259.417755,37.291498,4.64
84880,53Nu  Ser,260.206920,-12.846875,4.32
84893,40Xi  Oph,260.251515,-21.112933,4.39
84969,Zet Aps,260.497965,-67.770668,4.76
84970,42The Oph,260.502405,-24.999545,3.27
85112,75Rho Her,260.920620,37.145946,4.15
85258,Bet Ara,261.324975,-55.529884,2.84
85267,Gam Ara,261.348585,-56.377727,3.31
85340,44    Oph,261.592560,-24.175309,4.16
85355,49Sig Oph,261.628665,4.14036,4.34
85365,HIP85365,261.657840,-5.086596,4.53
85423,45    Oph,261.838635,-29.867033,4.28
85670,Rastaban,262.608195,52.301387,2.79
85693,Maasym,262.684620,26.110645,4.41
85696,Lesath,262.690980,-37.295811,2.70
85727,Del Ara,262.774770,-60.683848,3.60
85755,51    Oph,262.853970,-23.962643,4.78
85792,Alp Ara,262.960425,-49.876145,2.84
85819,24Nu 1Dra,263.043765,55.184243,4.89
85822,Yildun,263.053770,86.58646,4.35
85829,25Nu 2Dra,263.066505,55.172958,4.86
85927,Shaula,263.402175,-37.103821,1.62
86032,Rasalhague,263.733615,12.560035,2.08
86092,1Sig Ara,263.914980,-46.505684,4.56
86170,HIP86170,264.136815,-38.635308,4.26
86201,28Ome Dra,264.237885,68.75797,4.77
86228,Sargas,264.329700,-42.997824,1.86
86263,55Xi  Ser,264.396675,-15.398557,3.54
86284,57Mu  Oph,264.461310,-8.118771,4.58
86414,85Iot Her,264.866205,46.006332,3.82
86486,Lam Ara,265.099140,-49.415587,4.76
86565,56Omi Ser,265.353645,-12.875307,4.24
86614,Dziban,265.484670,72.148843,4.57
86670,Kap Sco,265.621980,-39.029983,2.39
86736,58    Oph,265.857495,-21.683194,4.86
86742,Cebalrai,265.868145,4.567303,2.76
86929,Eta Pav,266.433315,-64.723871,3.61
86974,86Mu  Her,266.614785,27.720676,3.42
87072,3    Sgr,266.890110,-27.830788,4.53
87073,Iot1Sco,266.896170,-40.126997,2.99
87108,62Gam Oph,266.973165,2.707276,3.75
87220,HIP87220,267.293655,-31.703203,4.79
87261,Fuyue,267.464475,-37.043304,3.19
87294,Iot2Sco,267.546300,-40.090435,4.78
87585,Grumium,268.382010,56.872643,3.73
87808,91The Her,269.063250,37.250539,3.86
87833,Eltanin,269.151555,51.488895,2.24
87846,HIP87846,269.197605,-44.342246,4.85
87933,92Xi  Her,269.441160,29.24788,3.70
87936,HIP87936,269.449185,-41.716295,4.88
87998,94Nu  Her,269.625615,30.189277,4.41
88048,64Nu  Oph,269.756625,-9.773632,3.32
88116,4    Sgr,269.948145,-23.816133,4.74
88128,93    Her,270.014235,16.750919,4.67
88149,66    Oph,270.065820,4.368615,4.79
88175,57Zet Ser,270.120870,-3.690269,4.62
88192,67    Oph,270.161310,2.931568,3.93
88267,95    Her,270.376695,21.595782,4.26
88290,68    Oph,270.438330,1.305076,4.42
88404,69Tau Oph,270.770505,-8.180349,4.77
88567,Gam1Sgr,271.255110,-29.580087,4.66
88601,70    Oph,271.363695,2.500099,4.03
88635,Alnasl,271.452045,-30.424091,2.98
88657,98    Her,271.507920,22.218879,4.96
88714,The Ara,271.657800,-50.091477,3.65
88726,HIP88726,271.707870,-43.425216,4.92
88765,71    Oph,271.826505,8.733867,4.64
88771,72    Oph,271.837440,9.563847,3.71
88794,103Omi Her,271.885620,28.762488,3.84
88839,HIP88839,272.020740,-28.457093,4.55
88866,Pi  Pav,272.145000,-63.668553,4.33
88886,102    Her,272.189550,20.814557,4.37
89112,Eps Tel,272.807355,-45.954418,4.52
89153,11    Sgr,272.930550,-23.701235,4.96
89172,104    Her,272.975655,31.40535,4.96
89341,Polis,273.440880,-21.058834,3.84
89348,36    Dra,273.473175,64.397287,4.99
89642,Eta Sgr,274.406895,-36.761686,3.10
89678,HIP89678,274.513290,-27.042641,4.66
89826,1Kap Lyr,274.965465,36.064547,4.33
89861,106    Her,275.074635,21.961297,4.92
89908,43Phi Dra,275.189325,71.337814,4.22
89918,74    Oph,275.216925,3.377165,4.85
89931,Kaus Media,275.248500,-29.828103,2.72
89937,44Chi Dra,275.261040,72.732843,3.55
89962,58Eta Ser,275.327505,-2.898825,3.23
90098,Xi  Pav,275.806755,-61.493901,4.35
90135,Zet Sct,275.914935,-8.934383,4.66
90139,109    Her,275.924505,21.769752,3.85
90156,39    Dra,275.977605,58.800736,4.98
90185,Kaus Australis,276.043020,-34.384616,1.79
90289,21    Sgr,276.337665,-20.541679,4.81
90344,Fafnir,276.496035,65.56348,4.82
90422,Alp Tel,276.743415,-45.968459,3.49
90496,Kaus Borealis,276.992685,-25.4217,2.82
90568,Zet Tel,277.207575,-49.070588,4.10
90595,Gam Sct,277.299390,-14.565813,4.67
90797,Nu  Pav,277.843440,-62.278302,4.63
90830,Del1Tel,277.939305,-45.914814,4.92
90905,45    Dra,278.143845,57.045599,4.77
90982,The CrA,278.375745,-42.31251,4.62
91117,Alp Sct,278.801775,-8.244073,3.85
91262,Vega,279.234600,38.783692,0.03
91726,Del Sct,280.568445,-9.052549,4.70
91792,Zet Pav,280.758900,-71.428113,4.01
91845,Eps Sct,280.880220,-8.275215,4.88
91918,HIP91918,281.080665,-35.641987,4.86
91919,4Eps1Lyr,281.084760,39.670123,4.67
91926,5Eps2Lyr,281.094915,39.612721,4.59
91971,6Zet1Lyr,281.193135,37.605115,4.34
92024,HIP92024,281.361975,-64.871259,4.78
92041,27Phi Sgr,281.414100,-26.990778,3.17
92043,110    Her,281.415525,20.546308,4.19
92088,HIP92088,281.518665,26.66213,4.83
92161,111    Her,281.755290,18.181519,4.34
92175,Bet Sct,281.793630,-4.747867,4.22
92420,Sheliak,282.519975,33.362667,3.52
92512,47Omi Dra,282.800220,59.388351,4.63
92609,Lam Pav,283.054320,-62.187593,4.22
92689,HIP92689,283.306440,50.708221,4.92
92761,Ainalrami,283.542405,-22.744834,4.86
92782,52Ups Dra,283.599150,71.297192,4.82
92791,12Del2Lyr,283.626180,36.898613,4.22
92818,113    Her,283.687020,22.645076,4.57
92855,Nunki,283.816350,-26.296722,2.05
92862,13    Lyr,283.833735,43.946088,4.08
92946,Alya,284.054925,4.203595,4.62
92951,63The2Ser,284.061015,4.202132,4.98
93015,Kap Pav,284.237655,-67.233495,4.40
93026,Eta Sct,284.265285,-5.846314,4.83
93085,37Xi 2Sgr,284.432505,-21.106654,3.52
93148,Lam Tel,284.615670,-52.938629,4.85
93174,Eps CrA,284.680815,-37.107357,4.83
93194,Sulafat,284.735925,32.689557,3.25
93244,13Eps Aql,284.905665,15.068298,4.02
